Iteration: 0, training loss 2209.9410473589055, val_loss 2212.523881353048 
Elapsed time 16.729566666666667 min epoch : 1.0
Elapsed time 6.370816666666667 min epoch : 2.0
Elapsed time 6.4270000000000005 min epoch : 3.0
Elapsed time 6.3544 min epoch : 4.0
Elapsed time 6.30605 min epoch : 5.0
Iteration: 2000, training loss 2137.0462485500266, val_loss 2161.6817412073538 
Elapsed time 17.17278333333333 min epoch : 6.0
Elapsed time 6.271866666666667 min epoch : 7.0
Elapsed time 6.218500000000001 min epoch : 8.0
Elapsed time 6.28085 min epoch : 9.0
Elapsed time 6.2318999999999996 min epoch : 10.0
Elapsed time 6.213433333333333 min epoch : 11.0
Iteration: 4000, training loss 2116.760292528321, val_loss 2139.726738088507 
Elapsed time 17.157449999999997 min epoch : 12.0
Elapsed time 6.275766666666667 min epoch : 13.0
Elapsed time 6.287116666666666 min epoch : 14.0
Elapsed time 6.3012999999999995 min epoch : 15.0
Elapsed time 6.268816666666667 min epoch : 16.0
Iteration: 6000, training loss 2099.886677726044, val_loss 2123.8109572853355 
Elapsed time 17.0756 min epoch : 17.0
Elapsed time 6.213733333333334 min epoch : 18.0
Elapsed time 6.020983333333334 min epoch : 19.0
Elapsed time 6.025616666666666 min epoch : 20.0
Elapsed time 6.0192 min epoch : 21.0
Elapsed time 6.021583333333334 min epoch : 22.0
Iteration: 8000, training loss 2074.349088599732, val_loss 2099.9182920414573 
Elapsed time 16.780333333333335 min epoch : 23.0
Elapsed time 6.016816666666667 min epoch : 24.0
Elapsed time 6.088866666666666 min epoch : 25.0
Elapsed time 6.11845 min epoch : 26.0
Elapsed time 6.021683333333333 min epoch : 27.0
Elapsed time 7.03395 min epoch : 28.0
Iteration: 10000, training loss 2065.7252522809295, val_loss 2090.396749047056 
Elapsed time 16.77573333333333 min epoch : 29.0
Elapsed time 5.9768 min epoch : 30.0
Elapsed time 5.9905333333333335 min epoch : 31.0
Elapsed time 6.0367 min epoch : 32.0
Elapsed time 6.020483333333333 min epoch : 33.0
Iteration: 12000, training loss 2056.053410178698, val_loss 2088.7764154776096 
Elapsed time 16.549966666666666 min epoch : 34.0
Elapsed time 6.169333333333333 min epoch : 35.0
Elapsed time 6.024333333333333 min epoch : 36.0
Elapsed time 5.9828166666666664 min epoch : 37.0
Elapsed time 5.9417333333333335 min epoch : 38.0
Elapsed time 5.8864833333333335 min epoch : 39.0
Iteration: 14000, training loss 2050.1926582594074, val_loss 2083.440520391296 
Elapsed time 16.366366666666668 min epoch : 40.0
Elapsed time 5.997083333333333 min epoch : 41.0
Elapsed time 6.0577499999999995 min epoch : 42.0
Elapsed time 6.117283333333333 min epoch : 43.0
Elapsed time 5.8692 min epoch : 44.0
Iteration: 16000, training loss 2046.3086882949424, val_loss 2080.6691953566465 
Elapsed time 16.41893333333333 min epoch : 45.0
Elapsed time 5.867766666666666 min epoch : 46.0
Elapsed time 5.859983333333333 min epoch : 47.0
Elapsed time 5.782883333333333 min epoch : 48.0
Elapsed time 5.8617 min epoch : 49.0
Elapsed time 5.853683333333334 min epoch : 50.0
Iteration: 18000, training loss 2046.9186615076148, val_loss 2078.7722399534505 
Elapsed time 16.3903 min epoch : 51.0
Elapsed time 5.775783333333334 min epoch : 52.0
Elapsed time 5.72735 min epoch : 53.0
Elapsed time 5.8031 min epoch : 54.0
Elapsed time 5.8198 min epoch : 55.0
